Date,Power_kW,temp_C,solarRad_W/m2,Day_of_week,Hour_of_day,Power-1,HDH
2019-01-05 00:00:00,97.528,10.2875,3.951083333333333,5,0,106.341,16.7125
2019-01-05 01:00:00,96.654,9.729166666666666,3.914,5,1,97.528,17.270833333333336
2019-01-05 02:00:00,96.523,9.294166666666667,5.913916666666666,5,2,96.654,17.70583333333333
2019-01-05 03:00:00,99.471,8.623333333333333,3.254833333333333,5,3,96.523,18.376666666666665
2019-01-05 04:00:00,95.971,7.71,4.725333333333333,5,4,99.471,19.29
2019-01-05 05:00:00,95.887,7.521666666666666,3.867083333333333,5,5,95.971,19.478333333333335
2019-01-05 06:00:00,96.044,7.439166666666666,5.096916666666667,5,6,95.887,19.560833333333335
2019-01-05 07:00:00,110.983,7.427499999999999,5.235166666666667,5,7,96.044,19.5725
2019-01-05 08:00:00,106.321,7.4375,61.59166666666667,5,8,110.983,19.5625
2019-01-05 09:00:00,110.335,8.131666666666666,209.4416666666667,5,9,106.321,18.868333333333332
2019-01-05 10:00:00,111.516,8.887500000000001,347.4666666666667,5,10,110.335,18.112499999999997
2019-01-05 11:00:00,116.867,9.395833333333334,445.9,5,11,111.516,17.604166666666664
2019-01-05 12:00:00,112.363,11.0225,487.2833333333333,5,12,116.867,15.9775
2019-01-05 13:00:00,112.409,12.494166666666668,473.0,5,13,112.363,14.505833333333332
2019-01-05 14:00:00,115.192,13.313333333333333,401.425,5,14,112.409,13.686666666666667
2019-01-05 15:00:00,120.742,13.4675,279.19166666666666,5,15,115.192,13.5325
2019-01-05 16:00:00,112.75,13.315833333333332,128.12833333333333,5,16,120.742,13.684166666666668
2019-01-05 17:00:00,112.171,12.171666666666669,10.0215,5,17,112.75,14.828333333333331
2019-01-05 18:00:00,113.712,11.685833333333331,4.103583333333334,5,18,112.171,15.314166666666669
2019-01-05 19:00:00,118.573,11.729166666666666,1.3456666666666666,5,19,113.712,15.270833333333334
2019-01-05 20:00:00,104.435,11.134166666666667,1.3916666666666666,5,20,118.573,15.865833333333333
2019-01-05 21:00:00,94.553,10.821666666666667,1.3316666666666668,5,21,104.435,16.178333333333335
2019-01-05 22:00:00,98.413,10.7525,1.428583333333333,5,22,94.553,16.247500000000002
2019-01-05 23:00:00,103.73,10.406666666666666,1.887916666666667,5,23,98.413,16.593333333333334
2019-01-06 00:00:00,97.121,9.231666666666667,3.767083333333333,6,0,103.73,17.76833333333333
2019-01-06 01:00:00,95.853,8.5075,4.52775,6,1,97.121,18.4925
2019-01-06 02:00:00,96.585,8.900833333333333,3.56225,6,2,95.853,18.09916666666667
2019-01-06 03:00:00,92.008,8.611666666666666,4.545333333333333,6,3,96.585,18.388333333333335
2019-01-06 04:00:00,93.76,7.439166666666666,4.358833333333333,6,4,92.008,19.560833333333335
